Hymn_Title,Hymn_Number,Rating,Type,Sunday Morning,Sunday_Evening,Sunday_Morning,Midweek,Other_Services
ARE YOU WASHED IN THE BLOOD? (Ab),297,⭐️⭐️⭐️,Old and Familiar,,,,,
AT THE CROSS (Eb),296,⭐️⭐️⭐️⭐️,Old and Familiar,,,,,
BE THOU EXALTED (Eb),57,⭐️⭐️⭐️,Old and Familiar,,,,,
BE THOU MY VISION (Eb),143,⭐️⭐️⭐️⭐️,Old and Familiar,,,,,
BECAUSE HE LIVES (Ab),387,⭐️⭐️⭐️⭐️,Old and Familiar,,,,,
GREAT IS THY FAITHFULNESS (D/Eb),119,⭐️⭐️⭐️⭐️⭐️,Old and Familiar,,,,,
I’LL FLY AWAY (G),617,⭐️⭐️⭐️,Old and Familiar,,,,,
TRUST AND OBEY (F),385,⭐️⭐️⭐️⭐️,Old and Familiar,,,,,
All to Jesus I surrender (C),476,⭐️⭐️⭐️⭐️,"Old and Familiar,Invitation",,,,,
A PASSION FOR THEE (F),412,⭐️⭐️⭐️⭐️,Majesty Music,,,,,
"ALMIGHTY, UNCHANGEABLE GOD (Bb)",3,⭐️⭐️⭐️,Majesty Music,,,,,
ALWAYS THE SAME (D),118,⭐️⭐️⭐️,Majesty Music,,,,,
AS THE DEER (D),409,⭐️⭐️⭐️⭐️,Chorus,,,,,
ACROSS THE LANDS (D),15,⭐️⭐️⭐️,CCM/Soveriegn Grace/Modern Hymns,,,,,
BEFORE THE THRONE OF GOD ABOVE (D),599,⭐️⭐️⭐️⭐️⭐️,CCM/Soveriegn Grace/Modern Hymns,4/9/2017,,4/23/2017,,
ALMOST PERSUADED (F),493,⭐️⭐️⭐️,Not Familiar - but old,,,,,
AMERICA THE BEAUTIFUL (Bb),699,⭐️⭐️⭐️⭐️,Patriotic,,,,,
BATTLE HYMN OF THE REPUBLIC (Bb/C),701,⭐️⭐️⭐️,Patriotic,,,,,
"ANGELS, FROM THE REALMS OF GLORY (Bb)",206,⭐️⭐️⭐️,Christmas,,,,,
ANGELS WE HAVE HEARD ON HIGH (F),225,⭐️⭐️⭐️,Christmas,,,,,
AS WITH GLADNESS MEN OF OLD (G),224,,Christmas,,,,,
AWAY IN A MANGER (CRADLE SONG) (F),233,⭐️⭐️⭐️⭐️⭐️,Christmas,,,,,
